ID,Name,Category,Date,Value,Description
219,Item 219,Category D,2022-07-18,18.08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
220,Item 220,Category D,2023-08-27,49.93,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
221,Item 221,Category C,2020-04-24,28.14,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
222,Item 222,Category A,2021-09-11,39.5,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
223,Item 223,Category C,2022-06-26,72.13,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
224,Item 224,Category C,2021-11-28,99.12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
225,Item 225,Category D,2020-09-18,62.24,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
226,Item 226,Category D,2020-02-04,21.93,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
227,Item 227,Category D,2020-01-20,33.53,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
228,Item 228,Category A,2023-03-24,1.33,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
229,Item 229,Category A,2020-04-06,69.72,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
230,Item 230,Category B,2023-01-12,37.55,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
231,Item 231,Category B,2023-08-19,2.81,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
232,Item 232,Category D,2022-11-27,16.2,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
233,Item 233,Category C,2020-12-15,91.86,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
234,Item 234,Category C,2021-04-27,55.31,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
235,Item 235,Category C,2022-11-19,88.98,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
236,Item 236,Category C,2021-04-22,3.6,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
237,Item 237,Category B,2021-01-26,99.86,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
238,Item 238,Category C,2020-12-15,86.87,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
239,Item 239,Category A,2022-11-05,40.29,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
240,Item 240,Category C,2021-10-24,25.45,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
241,Item 241,Category C,2020-10-12,18.19,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
242,Item 242,Category A,2022-09-14,27.22,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
243,Item 243,Category D,2022-01-03,74.06,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
244,Item 244,Category B,2021-09-22,9.96,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
245,Item 245,Category B,2023-03-17,48.22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
246,Item 246,Category D,2023-07-27,68.62,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
247,Item 247,Category D,2023-02-05,28.42,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
248,Item 248,Category B,2020-08-19,73.62,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
249,Item 249,Category B,2021-12-14,20.58,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
250,Item 250,Category B,2022-02-16,20.91,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
251,Item 251,Category C,2023-03-26,93.08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
252,Item 252,Category B,2022-02-16,30.82,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
253,Item 253,Category D,2022-09-14,28.26,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
254,Item 254,Category A,2021-09-25,16.85,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
255,Item 255,Category D,2022-04-14,57.99,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
256,Item 256,Category C,2023-07-07,94.47,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
257,Item 257,Category D,2022-05-06,71.62,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
258,Item 258,Category D,2020-04-19,79.77,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
259,Item 259,Category C,2022-09-27,92.06,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
260,Item 260,Category C,2021-08-31,5.31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
261,Item 261,Category C,2023-07-11,34.58,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
262,Item 262,Category D,2020-08-10,98.1,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
263,Item 263,Category C,2023-05-09,32.58,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
264,Item 264,Category C,2023-11-27,38.96,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
265,Item 265,Category D,2020-02-08,44.32,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
266,Item 266,Category C,2023-01-06,78.75,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
267,Item 267,Category C,2020-01-21,30.18,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
268,Item 268,Category C,2022-06-07,11.41,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
269,Item 269,Category A,2023-01-02,66.98,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
270,Item 270,Category D,2023-10-10,26.57,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
271,Item 271,Category D,2023-05-05,57.16,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
272,Item 272,Category D,2020-03-03,18.49,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
273,Item 273,Category A,2022-03-27,35.28,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
274,Item 274,Category A,2021-02-20,89.0,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
275,Item 275,Category B,2020-04-08,9.53,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
276,Item 276,Category D,2021-04-29,57.87,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
277,Item 277,Category D,2023-08-11,71.62,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
278,Item 278,Category A,2021-07-08,21.71,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
279,Item 279,Category B,2022-10-09,5.62,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
280,Item 280,Category B,2023-10-17,35.12,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
281,Item 281,Category B,2023-04-10,32.14,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
282,Item 282,Category B,2022-07-21,89.31,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
283,Item 283,Category A,2022-05-02,22.86,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
284,Item 284,Category B,2022-09-08,42.95,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
285,Item 285,Category C,2020-08-16,25.18,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
286,Item 286,Category A,2023-03-23,39.68,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
287,Item 287,Category C,2020-05-24,82.07,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
288,Item 288,Category B,2021-06-20,53.18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
289,Item 289,Category D,2023-05-17,83.12,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
290,Item 290,Category D,2023-08-15,80.46,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
291,Item 291,Category D,2021-03-22,19.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
292,Item 292,Category B,2023-05-06,95.36,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
293,Item 293,Category C,2022-01-26,85.76,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
294,Item 294,Category C,2023-09-16,20.54,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
295,Item 295,Category C,2020-09-08,76.25,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
296,Item 296,Category A,2021-11-10,11.34,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
297,Item 297,Category B,2020-04-17,69.24,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
298,Item 298,Category C,2020-12-24,26.78,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
299,Item 299,Category A,2023-11-25,10.28,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
300,Item 300,Category C,2020-04-04,39.66,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
301,Item 301,Category A,2021-09-19,39.97,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
302,Item 302,Category B,2022-02-23,66.34,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
303,Item 303,Category C,2022-09-10,39.36,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
304,Item 304,Category A,2023-04-22,8.04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
305,Item 305,Category D,2023-02-27,62.95,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
306,Item 306,Category D,2020-09-11,9.29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
307,Item 307,Category A,2021-02-28,68.51,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
308,Item 308,Category C,2022-06-10,52.45,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
309,Item 309,Category A,2023-04-12,27.14,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
310,Item 310,Category D,2022-05-14,58.81,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
311,Item 311,Category D,2020-05-23,36.15,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
312,Item 312,Category D,2020-07-25,66.05,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
313,Item 313,Category D,2020-07-14,14.96,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
314,Item 314,Category A,2021-03-27,58.47,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
315,Item 315,Category B,2023-01-08,7.3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
316,Item 316,Category C,2023-03-31,91.04,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
317,Item 317,Category C,2023-10-12,66.1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
318,Item 318,Category C,2022-08-21,39.55,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
319,Item 319,Category A,2021-02-20,39.82,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
320,Item 320,Category C,2023-11-01,49.98,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
321,Item 321,Category C,2022-03-26,19.28,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
322,Item 322,Category D,2020-12-25,96.16,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
323,Item 323,Category A,2023-01-06,39.27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
324,Item 324,Category B,2022-07-17,91.53,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
325,Item 325,Category D,2023-03-05,23.7,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
326,Item 326,Category B,2021-01-10,30.34,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
327,Item 327,Category B,2022-01-12,65.94,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
328,Item 328,Category D,2021-06-03,18.76,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
329,Item 329,Category D,2023-09-04,86.76,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
330,Item 330,Category D,2022-10-18,56.17,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
331,Item 331,Category A,2020-04-15,47.32,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
332,Item 332,Category B,2023-11-26,66.54,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
333,Item 333,Category D,2020-11-07,84.69,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
334,Item 334,Category A,2023-06-16,23.84,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
335,Item 335,Category B,2023-12-07,47.12,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
336,Item 336,Category C,2020-07-29,20.82,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
337,Item 337,Category D,2022-01-12,89.99,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
338,Item 338,Category A,2020-01-18,70.75,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
339,Item 339,Category A,2020-08-08,97.21,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
340,Item 340,Category A,2023-02-28,11.33,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
341,Item 341,Category A,2023-11-14,62.55,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
342,Item 342,Category C,2021-03-09,3.86,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
343,Item 343,Category C,2020-12-01,88.38,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
344,Item 344,Category A,2023-01-12,17.41,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
345,Item 345,Category D,2020-12-10,38.2,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
346,Item 346,Category A,2020-11-09,31.32,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
347,Item 347,Category A,2023-08-23,93.06,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
348,Item 348,Category A,2021-02-02,2.51,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
349,Item 349,Category A,2020-01-02,73.89,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
350,Item 350,Category B,2021-05-08,5.24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
351,Item 351,Category B,2020-03-20,75.93,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
352,Item 352,Category B,2023-04-29,30.38,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
353,Item 353,Category A,2020-06-13,70.63,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
354,Item 354,Category C,2020-06-13,44.79,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
355,Item 355,Category C,2022-07-15,78.29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
356,Item 356,Category B,2023-05-15,37.82,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
357,Item 357,Category A,2021-04-27,28.01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
358,Item 358,Category D,2020-03-16,56.27,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
359,Item 359,Category A,2022-04-17,28.91,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
360,Item 360,Category B,2022-01-14,34.66,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
361,Item 361,Category C,2020-04-23,66.21,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
362,Item 362,Category A,2021-02-13,57.88,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
363,Item 363,Category B,2022-04-09,42.32,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
364,Item 364,Category B,2022-01-03,81.41,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
365,Item 365,Category C,2022-05-04,48.0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
366,Item 366,Category A,2020-12-28,11.5,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
367,Item 367,Category B,2023-07-12,33.05,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
368,Item 368,Category C,2023-01-06,10.86,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
369,Item 369,Category C,2021-10-16,28.35,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
370,Item 370,Category B,2020-08-26,18.68,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
371,Item 371,Category D,2022-06-12,63.12,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
372,Item 372,Category D,2021-10-20,82.56,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
373,Item 373,Category C,2022-12-18,1.03,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
374,Item 374,Category B,2021-10-26,26.8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
375,Item 375,Category B,2020-05-16,11.52,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
376,Item 376,Category D,2022-10-22,83.55,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
377,Item 377,Category C,2021-05-28,59.34,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
378,Item 378,Category B,2020-03-12,60.17,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
379,Item 379,Category C,2021-02-23,68.98,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
380,Item 380,Category C,2023-08-06,77.78,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
381,Item 381,Category A,2020-07-01,74.26,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
382,Item 382,Category C,2021-02-22,75.01,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
383,Item 383,Category C,2021-03-30,26.84,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
384,Item 384,Category C,2022-08-31,52.78,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
385,Item 385,Category A,2021-10-01,71.38,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
386,Item 386,Category A,2022-04-29,82.38,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
387,Item 387,Category B,2022-01-19,70.85,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
388,Item 388,Category C,2022-07-31,90.78,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
389,Item 389,Category A,2023-01-09,92.37,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
390,Item 390,Category D,2023-08-25,11.8,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
391,Item 391,Category B,2021-05-30,74.84,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
392,Item 392,Category B,2021-10-24,33.51,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
393,Item 393,Category B,2022-08-21,67.39,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
394,Item 394,Category C,2020-05-23,13.02,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
395,Item 395,Category B,2022-09-30,90.82,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
396,Item 396,Category C,2020-02-18,45.3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
397,Item 397,Category B,2023-03-05,98.66,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
398,Item 398,Category B,2021-05-20,81.73,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
399,Item 399,Category D,2022-01-06,9.4,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
400,Item 400,Category B,2022-09-01,65.24,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
401,Item 401,Category A,2023-01-23,25.35,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
402,Item 402,Category D,2022-09-25,43.72,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
403,Item 403,Category D,2021-01-16,75.18,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
404,Item 404,Category A,2023-11-08,91.39,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
405,Item 405,Category A,2020-10-31,60.38,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
406,Item 406,Category B,2020-09-07,76.35,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
407,Item 407,Category D,2023-05-23,91.75,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
408,Item 408,Category D,2022-10-21,40.19,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
409,Item 409,Category A,2021-08-17,31.39,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
410,Item 410,Category D,2022-04-11,49.67,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
411,Item 411,Category D,2020-02-17,37.44,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
412,Item 412,Category A,2020-10-09,94.45,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
413,Item 413,Category B,2021-10-16,3.04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
414,Item 414,Category D,2021-01-21,10.55,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
415,Item 415,Category B,2021-01-08,57.47,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
416,Item 416,Category D,2021-06-15,53.94,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
417,Item 417,Category C,2021-09-16,13.43,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
418,Item 418,Category A,2023-07-21,39.61,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
419,Item 419,Category A,2021-02-17,3.36,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
420,Item 420,Category C,2023-06-22,20.41,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
421,Item 421,Category B,2020-06-20,28.48,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
422,Item 422,Category A,2020-05-02,6.66,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
423,Item 423,Category B,2023-02-07,9.68,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
424,Item 424,Category C,2020-12-05,12.78,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
425,Item 425,Category B,2021-05-15,62.35,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
426,Item 426,Category B,2020-09-17,64.84,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
427,Item 427,Category D,2022-05-17,12.67,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
428,Item 428,Category C,2021-04-17,91.19,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
429,Item 429,Category B,2023-09-14,0.44,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
430,Item 430,Category D,2022-06-01,8.12,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
431,Item 431,Category C,2020-10-02,90.88,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
432,Item 432,Category B,2023-02-05,68.59,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
433,Item 433,Category A,2022-04-16,5.43,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
434,Item 434,Category A,2021-08-08,35.11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
435,Item 435,Category B,2020-10-07,39.36,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
